produce_type,color,size,ripeness,moisture_loss,blemish_ratio,density_score,grade
apple,81.72,83.15,73.12,20.39,0.204,80.49,A
carrot,79.66,100.0,66.01,41.68,0.167,88.55,B
orange,96.5,78.48,100.0,2.81,0.0,87.37,B
tomato,91.85,69.3,73.77,27.45,0.056,83.33,C
banana,81.5,81.26,95.05,2.76,0.235,79.82,A
carrot,93.74,100.0,63.63,31.03,0.091,78.7,B
tomato,73.97,92.52,67.29,20.91,0.195,79.96,B
carrot,73.54,65.29,100.0,12.99,0.212,83.93,C
tomato,63.59,78.29,100.0,0.0,0.35,84.43,C
banana,35.0,76.69,75.27,20.77,0.693,81.99,C
orange,56.82,100.0,53.23,54.5,0.439,74.1,C
banana,77.5,84.5,61.28,37.32,0.186,66.81,B
tomato,65.74,68.2,69.28,33.32,0.349,78.61,C
tomato,85.04,82.08,89.05,15.25,0.141,86.43,A
apple,66.84,89.36,45.94,58.72,0.33,65.22,C
banana,75.61,97.57,100.0,7.32,0.216,100.0,A
banana,88.1,70.9,55.83,43.79,0.159,55.3,C
orange,86.59,82.5,98.66,0.0,0.252,82.89,A
apple,47.56,81.29,57.85,41.92,0.521,68.59,C
orange,84.49,78.19,93.66,5.26,0.107,77.49,B
carrot,75.42,66.77,54.4,48.76,0.157,67.65,C
cucumber,77.34,69.58,88.23,11.75,0.192,79.91,C
tomato,52.76,62.38,58.08,44.02,0.472,65.47,C
banana,86.62,80.63,60.91,41.4,0.13,67.63,B
apple,78.63,80.45,73.54,23.98,0.148,77.37,A
apple,62.7,79.11,87.74,13.37,0.346,80.57,C
apple,87.54,53.24,88.76,0.0,0.054,68.43,C
orange,100.0,90.48,81.7,7.12,0.008,83.35,A
apple,65.75,83.86,68.46,36.75,0.246,76.53,B
apple,71.86,85.66,58.12,42.86,0.271,68.59,C
tomato,70.94,80.15,63.71,36.33,0.277,68.87,B
banana,84.23,77.41,78.33,15.51,0.136,76.27,B
cucumber,59.3,86.65,67.91,29.96,0.379,92.07,C
apple,46.97,62.8,88.15,19.87,0.496,81.87,C
apple,89.12,79.73,71.83,29.25,0.153,77.77,B
orange,75.39,100.0,80.02,25.2,0.273,91.38,A
tomato,79.63,92.77,87.5,14.09,0.169,92.06,A
cucumber,73.38,100.0,51.38,54.38,0.223,76.34,C
apple,100.0,70.45,64.42,35.48,0.0,71.86,B
banana,87.81,66.05,47.09,51.54,0.043,64.16,C
carrot,55.05,69.55,82.62,13.86,0.374,86.28,C
banana,75.06,79.49,87.36,15.41,0.208,81.8,B
banana,74.6,90.99,57.31,54.8,0.216,74.1,C
banana,58.53,71.51,60.47,37.04,0.366,69.47,C
tomato,66.26,71.27,69.71,36.24,0.348,69.99,B
orange,60.86,66.66,96.91,6.27,0.348,78.96,C
banana,65.62,71.37,83.36,14.91,0.448,83.62,B
carrot,88.07,76.93,85.56,12.34,0.201,83.27,B
apple,81.94,83.52,100.0,0.0,0.273,90.83,A
tomato,66.72,62.19,86.46,7.31,0.341,80.0,C
apple,67.92,78.78,55.15,42.52,0.45,70.85,C
banana,68.82,81.49,78.08,19.4,0.338,75.02,B
banana,63.62,86.44,57.3,47.07,0.363,62.73,C
banana,52.72,90.32,72.02,39.09,0.526,75.87,C
carrot,47.69,72.94,56.46,54.49,0.523,69.37,C
orange,75.3,81.61,93.7,8.17,0.194,95.77,A
apple,73.61,76.53,30.73,73.08,0.269,54.13,C
cucumber,69.37,77.57,83.41,20.42,0.295,85.23,B
cucumber,76.82,75.95,79.17,12.67,0.243,69.85,B
tomato,47.72,79.9,100.0,0.0,0.555,100.0,C
tomato,84.06,72.82,65.96,34.05,0.128,66.6,B
apple,93.39,62.24,62.91,34.31,0.096,68.29,C
tomato,100.0,76.41,69.35,34.18,0.0,72.18,B
cucumber,38.68,83.48,73.08,34.55,0.614,72.01,C
banana,74.13,56.91,56.63,47.19,0.246,61.38,C
cucumber,74.36,76.29,91.29,12.74,0.288,91.5,B
apple,72.48,98.02,59.29,34.22,0.313,71.13,C
tomato,79.52,94.86,75.05,25.29,0.23,81.64,A
orange,67.41,87.69,75.53,22.02,0.322,89.59,B
orange,70.92,61.51,75.32,28.62,0.333,68.96,C
cucumber,92.34,90.77,93.81,12.1,0.155,91.44,A
banana,87.96,91.37,100.0,7.69,0.218,98.78,A
apple,81.43,65.38,80.93,15.76,0.196,73.43,C
apple,76.54,93.22,32.43,68.71,0.295,72.18,C
banana,88.98,100.0,78.7,21.31,0.137,89.34,A
apple,70.27,68.65,84.45,15.61,0.279,73.72,C
cucumber,85.58,91.37,57.91,34.36,0.192,67.76,C
banana,100.0,100.0,87.81,16.45,0.113,82.23,A
carrot,71.03,92.18,70.6,36.84,0.288,82.05,B
orange,70.16,75.43,80.34,15.01,0.346,81.15,B
apple,94.49,68.45,48.81,51.17,0.2,64.96,C
cucumber,84.37,90.73,54.11,54.11,0.148,71.97,C
carrot,78.36,95.73,63.92,25.84,0.233,69.61,B
orange,95.8,88.95,92.68,11.04,0.162,87.87,A
tomato,83.97,76.74,91.31,8.32,0.246,81.37,B
tomato,86.9,81.61,84.68,16.89,0.149,82.11,A
banana,67.48,77.98,49.07,55.98,0.263,62.44,C
apple,90.59,60.7,74.53,28.23,0.097,74.34,C
apple,65.67,57.41,88.97,7.81,0.255,72.4,C
tomato,59.05,100.0,62.59,37.93,0.349,81.5,C
carrot,75.99,64.13,100.0,0.0,0.215,86.91,C
apple,94.9,67.59,79.42,9.29,0.096,65.33,C
orange,65.95,81.96,83.12,15.31,0.416,86.16,B
cucumber,59.56,100.0,63.15,47.27,0.506,84.14,C
carrot,93.48,45.0,72.88,33.73,0.111,52.84,C
apple,39.95,86.96,45.87,60.92,0.66,64.04,C
tomato,85.82,79.39,79.87,13.25,0.173,71.43,B
carrot,76.17,79.47,80.36,15.75,0.333,80.71,B
apple,81.49,84.37,92.05,11.41,0.207,91.89,A
orange,51.2,81.09,72.84,30.64,0.489,79.87,C
orange,59.32,81.87,54.54,47.78,0.313,69.95,C
cucumber,72.25,92.74,79.64,10.49,0.244,78.68,B
cucumber,52.58,83.41,84.96,17.68,0.504,84.13,C
apple,61.9,76.72,54.86,40.07,0.385,65.2,C
banana,100.0,65.85,74.0,17.46,0.0,68.19,C
cucumber,71.26,79.7,69.11,22.48,0.255,72.5,B
cucumber,79.11,88.71,72.25,26.24,0.123,83.18,A
banana,89.21,97.8,72.99,20.87,0.107,87.14,A
cucumber,73.27,75.23,85.02,17.97,0.25,71.85,B
carrot,66.49,84.57,78.42,10.25,0.339,84.07,B
orange,87.56,83.41,44.37,63.3,0.145,57.87,C
carrot,81.47,90.16,68.19,36.76,0.096,73.96,B
cucumber,47.03,71.23,100.0,12.35,0.541,82.42,C
orange,85.1,63.24,66.84,41.77,0.097,61.3,C
banana,78.2,85.4,66.0,34.46,0.248,85.51,B
tomato,77.38,100.0,67.21,24.84,0.239,88.99,B
orange,83.42,80.84,52.83,46.82,0.228,60.66,C
apple,72.19,73.63,79.97,22.69,0.3,71.91,B
banana,53.31,85.15,67.91,43.12,0.561,86.48,C
tomato,86.54,92.45,88.13,9.74,0.199,90.29,A
apple,79.92,63.55,86.32,12.12,0.224,76.11,C
apple,77.31,91.44,72.82,18.45,0.255,78.08,A
orange,58.14,69.73,80.53,18.89,0.312,73.21,C
banana,71.23,80.01,92.69,12.09,0.339,72.49,B
tomato,100.0,89.64,100.0,0.0,0.0,94.85,A
orange,87.8,94.9,74.6,23.95,0.148,83.47,A
orange,72.9,94.45,96.16,10.35,0.263,84.6,B
banana,66.63,80.44,65.26,34.61,0.282,66.45,B
banana,96.34,70.36,76.01,29.72,0.082,77.16,B
carrot,88.86,98.48,82.8,6.18,0.085,94.12,A
orange,68.59,100.0,74.99,25.52,0.37,86.58,B
carrot,91.49,64.33,71.44,33.54,0.088,75.22,C
cucumber,54.36,61.72,88.31,16.88,0.447,77.02,C
orange,65.79,73.52,79.04,26.39,0.284,75.29,B
apple,74.34,87.02,75.86,20.86,0.319,78.74,B
apple,54.13,73.44,84.26,17.67,0.489,81.6,C
banana,100.0,73.03,50.09,43.61,0.0,56.69,C
apple,96.79,100.0,84.07,28.78,0.014,83.87,A
banana,93.8,59.94,63.92,39.2,0.057,60.97,C
tomato,77.84,94.04,76.32,18.7,0.159,81.13,A
orange,83.89,86.12,63.19,23.54,0.182,70.17,B
cucumber,66.66,70.15,78.45,35.7,0.371,74.98,B
tomato,83.38,60.99,58.04,26.89,0.253,67.15,C
tomato,80.03,63.38,72.49,38.26,0.206,65.11,C
banana,51.63,98.56,74.88,14.58,0.437,80.33,C
orange,81.11,75.96,88.43,12.04,0.242,80.41,B
carrot,100.0,75.23,61.55,32.3,0.0,59.79,B
apple,49.42,83.94,54.38,43.33,0.536,80.68,C
cucumber,61.83,80.2,64.42,30.36,0.346,76.43,C
carrot,100.0,86.99,59.84,37.96,0.0,77.42,C
cucumber,53.42,65.91,66.54,37.56,0.527,73.12,C
banana,76.76,91.54,57.69,31.24,0.254,69.58,C
orange,77.02,83.44,79.97,25.66,0.271,82.68,A
carrot,79.62,74.85,72.86,42.85,0.213,76.1,B
banana,67.42,94.24,88.16,16.44,0.337,96.37,B
apple,82.25,80.62,90.31,4.26,0.142,85.2,A
carrot,51.88,91.93,60.59,36.58,0.471,76.46,C
apple,76.99,81.28,68.85,26.51,0.284,64.54,B
orange,74.91,76.37,82.7,8.57,0.226,79.03,B
cucumber,82.98,67.8,68.2,37.12,0.11,67.61,C
cucumber,77.86,77.37,100.0,0.0,0.244,84.85,B
orange,91.06,74.94,75.12,19.5,0.032,80.22,B
carrot,69.69,53.04,100.0,0.0,0.291,84.72,C
orange,75.55,67.26,49.84,49.16,0.263,60.08,C
carrot,70.78,82.24,46.6,56.16,0.3,74.29,C
banana,63.86,81.39,70.76,31.85,0.363,69.77,C
tomato,53.46,85.15,98.13,2.35,0.506,96.71,C
tomato,65.78,84.34,95.31,7.87,0.38,87.52,B
orange,74.96,80.58,75.18,31.83,0.133,78.03,B
banana,57.43,90.06,64.41,33.45,0.518,82.28,C
carrot,86.62,86.57,73.37,38.63,0.174,76.22,A
cucumber,86.5,81.33,53.14,49.43,0.122,69.89,C
carrot,84.63,74.7,86.13,10.89,0.132,77.75,B
apple,73.79,98.47,100.0,0.0,0.116,100.0,B
apple,72.87,71.61,66.58,30.93,0.336,69.89,B
carrot,85.41,78.29,69.75,33.62,0.187,79.01,B
orange,74.08,84.1,85.34,12.35,0.202,80.69,B
carrot,87.93,97.11,54.3,42.11,0.103,79.68,C
banana,70.08,76.84,53.41,49.49,0.291,61.86,C
tomato,94.9,69.94,62.53,44.98,0.055,69.59,C
banana,84.03,81.58,70.43,34.56,0.218,81.42,A
orange,97.57,77.7,63.92,35.06,0.066,73.51,B
tomato,74.17,92.05,78.24,18.32,0.223,87.2,B
cucumber,57.37,92.17,68.32,41.24,0.356,79.34,C
apple,67.5,70.29,68.21,42.41,0.332,65.29,B
tomato,52.18,75.56,65.86,32.79,0.365,70.25,C
cucumber,93.42,100.0,45.69,49.5,0.023,73.57,C
banana,100.0,82.52,74.03,35.53,0.0,80.28,A
cucumber,66.74,65.55,66.23,46.89,0.364,67.27,C
cucumber,91.67,65.71,50.93,45.72,0.181,67.81,C
carrot,71.23,73.91,49.75,50.71,0.296,65.78,C
orange,75.04,88.67,64.79,38.43,0.224,79.03,B
apple,83.68,82.83,88.71,1.86,0.11,84.42,A
banana,71.9,77.5,96.95,3.9,0.333,88.74,B
cucumber,69.96,83.6,87.67,19.49,0.294,77.4,B
orange,73.1,53.95,100.0,3.58,0.237,71.42,C
banana,93.42,68.64,59.71,35.7,0.071,67.28,C
cucumber,93.67,82.01,92.33,3.65,0.0,83.81,A
carrot,65.91,74.42,60.65,36.58,0.372,76.11,B
tomato,58.68,72.5,88.25,10.52,0.377,83.96,C
tomato,92.35,81.77,62.94,38.68,0.065,71.15,B
carrot,91.87,85.0,92.57,15.45,0.104,86.25,A
apple,93.6,87.59,100.0,1.86,0.099,95.25,A
cucumber,74.12,85.53,84.34,22.59,0.274,82.62,B
apple,73.1,66.12,100.0,0.0,0.317,84.45,C
orange,76.24,72.55,60.5,49.87,0.243,72.15,B
cucumber,98.77,77.07,82.78,17.49,0.0,79.0,B
apple,70.51,78.1,73.23,39.44,0.203,78.17,B
cucumber,74.2,74.31,71.55,32.45,0.294,73.86,B
tomato,97.03,91.8,67.26,35.71,0.055,75.45,B
cucumber,54.46,57.73,77.12,24.67,0.396,72.65,C
carrot,98.24,86.45,58.94,43.81,0.051,69.95,C
carrot,56.37,83.2,59.99,46.74,0.416,80.22,C
cucumber,80.02,99.15,61.76,37.29,0.18,77.04,B
carrot,81.67,66.45,74.22,28.87,0.173,65.34,C
banana,88.95,69.51,55.29,38.99,0.138,63.78,C
tomato,89.85,78.09,61.2,44.31,0.074,70.58,B
cucumber,69.45,94.11,64.54,40.35,0.189,76.53,B
carrot,75.43,100.0,57.29,46.73,0.299,75.04,C
banana,80.12,64.22,68.72,38.94,0.225,65.69,C
apple,79.7,88.97,88.36,8.3,0.28,95.25,A
carrot,65.36,69.76,70.77,29.59,0.258,72.74,C
banana,97.31,88.92,65.18,30.05,0.042,76.28,B
tomato,87.03,95.1,57.89,43.44,0.112,76.0,C
banana,90.97,93.68,98.38,4.18,0.085,94.76,A
banana,98.1,78.14,84.09,19.98,0.0,76.5,B
apple,100.0,85.49,66.71,32.53,0.054,80.77,B
banana,100.0,93.59,73.56,19.29,0.053,85.96,A
apple,56.13,79.22,100.0,0.1,0.402,84.57,C
banana,90.72,98.89,79.97,27.55,0.05,90.24,A
orange,82.31,98.59,81.1,15.15,0.18,81.46,A
banana,90.47,77.5,71.82,33.17,0.165,77.33,B
cucumber,100.0,88.03,80.84,20.61,0.0,89.21,A
cucumber,69.21,82.28,63.36,33.93,0.4,78.34,B
apple,67.71,76.37,55.57,48.66,0.31,56.13,C
banana,84.58,93.56,74.83,22.94,0.253,84.22,A
banana,88.79,75.53,87.04,4.23,0.089,75.24,B
orange,96.76,74.65,87.49,21.61,0.031,86.04,B
banana,85.97,83.4,88.01,23.03,0.108,80.91,A
tomato,92.92,95.55,67.41,19.78,0.037,84.22,B
banana,77.0,84.16,67.63,38.46,0.247,78.83,B
orange,85.87,87.5,61.15,41.09,0.181,80.1,B
tomato,84.24,70.42,63.02,34.37,0.167,66.11,B
carrot,61.05,56.82,30.0,69.21,0.505,52.39,C
apple,63.33,83.8,52.57,39.56,0.307,67.06,C
cucumber,81.79,89.96,70.61,29.61,0.127,73.56,A
cucumber,55.52,89.79,70.59,18.18,0.442,73.95,C
orange,69.32,90.18,93.42,0.85,0.311,94.57,B
cucumber,79.73,86.33,54.73,48.6,0.178,72.28,C
banana,88.03,86.18,86.27,17.86,0.194,86.06,A
tomato,80.46,93.18,68.15,23.83,0.22,79.64,B
tomato,85.51,99.17,49.92,56.21,0.018,72.55,C
carrot,100.0,78.06,77.44,27.14,0.0,78.11,B
apple,100.0,67.17,69.9,24.53,0.0,74.17,C
cucumber,78.4,75.33,67.71,28.91,0.192,65.2,B
banana,72.61,72.91,78.48,22.96,0.246,74.97,B
orange,100.0,100.0,59.13,35.38,0.0,84.85,C
apple,81.6,100.0,75.83,28.4,0.21,84.98,A
tomato,93.89,71.8,97.44,0.0,0.037,79.18,B
cucumber,71.6,52.82,72.27,24.69,0.324,64.66,C
orange,67.39,76.5,72.25,36.67,0.285,70.77,B
cucumber,55.77,85.68,79.25,28.45,0.494,94.45,C
orange,76.89,78.87,55.2,48.98,0.237,70.29,C
tomato,83.27,84.46,78.22,17.68,0.227,91.6,A
orange,61.34,90.65,30.0,74.01,0.293,57.7,C
banana,74.77,92.07,46.28,51.56,0.227,77.08,C
apple,84.48,67.87,68.46,40.88,0.191,63.58,C
apple,74.47,75.54,48.64,47.3,0.325,60.18,C
orange,76.45,83.69,100.0,0.05,0.29,88.85,A
orange,78.19,72.71,72.74,32.59,0.178,72.73,B
tomato,88.63,72.11,93.53,6.91,0.105,72.78,B
carrot,83.57,100.0,85.09,21.67,0.104,91.91,A
tomato,96.31,71.35,91.44,12.96,0.051,79.75,B
cucumber,100.0,89.58,81.45,16.07,0.002,86.34,A
apple,84.0,90.81,63.48,27.72,0.164,68.41,B
apple,70.36,87.9,100.0,0.0,0.41,92.79,B
orange,83.22,65.02,91.95,8.3,0.165,68.8,C
apple,90.69,79.16,94.79,12.01,0.061,94.95,B
orange,78.68,82.6,77.58,22.83,0.082,79.16,A
apple,100.0,100.0,89.63,8.94,0.0,91.53,A
banana,100.0,73.69,38.31,67.87,0.075,64.3,C
cucumber,96.02,82.64,42.78,57.39,0.071,62.03,C
orange,75.29,70.43,59.97,51.06,0.341,65.19,C
cucumber,63.29,89.71,100.0,0.0,0.39,97.55,C
tomato,85.91,100.0,100.0,0.0,0.175,100.0,A
cucumber,82.06,90.06,79.47,15.24,0.156,82.48,A
orange,65.36,85.76,82.69,23.19,0.303,81.34,B
tomato,75.53,82.36,73.2,33.6,0.303,83.35,A
orange,78.4,71.53,100.0,5.14,0.193,92.88,B
tomato,99.16,99.74,61.26,42.23,0.048,93.57,B
tomato,66.87,99.19,76.28,16.27,0.325,87.75,B
orange,82.68,93.49,79.81,16.94,0.166,86.63,A
orange,81.26,95.32,80.35,11.23,0.159,88.66,A
apple,97.47,100.0,78.09,26.49,0.0,91.19,A
tomato,61.87,81.25,100.0,1.82,0.338,92.66,C
apple,63.59,100.0,93.07,9.0,0.345,94.98,C
tomato,100.0,85.68,30.0,84.53,0.009,59.56,C
cucumber,84.98,90.96,69.22,23.4,0.164,87.25,B
tomato,68.28,73.26,95.54,1.72,0.297,82.53,B
apple,54.4,75.53,79.69,21.65,0.514,86.8,C
tomato,100.0,92.98,73.62,22.64,0.001,86.23,A
banana,87.35,80.55,88.59,18.98,0.171,84.41,A
apple,65.49,71.71,65.1,36.44,0.371,61.33,B
banana,81.65,71.2,82.94,15.21,0.147,77.34,B
carrot,83.88,71.82,72.12,30.69,0.123,63.68,B
carrot,71.73,66.18,70.44,39.55,0.214,66.89,C
orange,100.0,86.9,70.12,28.94,0.021,86.99,A
tomato,66.64,65.45,77.65,13.92,0.31,67.01,C
tomato,94.11,75.9,82.35,8.02,0.065,73.11,B
orange,100.0,93.19,73.95,45.25,0.0,89.39,A
tomato,55.01,79.07,54.44,47.11,0.453,65.22,C
carrot,69.49,85.92,89.13,1.97,0.268,87.79,B
tomato,87.45,99.05,72.55,25.56,0.082,87.45,A
apple,73.89,80.87,84.83,11.79,0.222,85.01,B
carrot,35.0,74.76,57.58,49.64,0.628,63.36,C
apple,69.07,77.17,77.55,19.91,0.288,72.31,B
banana,60.69,82.73,80.91,10.53,0.431,85.64,C
apple,82.5,89.64,100.0,0.0,0.123,87.15,A
orange,100.0,100.0,61.21,34.43,0.0,86.72,B
orange,48.5,100.0,81.0,21.73,0.505,92.83,C
carrot,55.29,71.91,77.68,8.69,0.432,72.97,C
cucumber,69.73,70.05,46.85,54.02,0.288,51.57,C
orange,78.94,78.46,68.62,18.44,0.245,67.38,B
banana,65.88,77.34,94.44,8.75,0.398,87.54,B
banana,83.94,60.63,70.92,27.73,0.222,63.24,C
carrot,81.39,95.89,73.86,31.11,0.101,76.81,A
tomato,43.75,91.43,86.78,18.6,0.529,86.29,C
tomato,99.66,100.0,88.7,13.29,0.07,93.07,A
cucumber,72.14,80.45,60.34,38.61,0.223,75.52,B
tomato,99.44,62.45,100.0,0.0,0.0,78.12,C
apple,97.62,84.71,72.1,23.15,0.0,84.07,A
tomato,98.29,86.76,33.73,58.81,0.04,58.4,C
orange,69.62,68.76,91.16,11.58,0.329,76.79,C
carrot,57.93,80.44,35.55,55.04,0.405,69.87,C
cucumber,50.99,67.08,79.47,31.15,0.5,76.78,C
tomato,70.34,82.99,65.47,38.88,0.216,78.68,B
apple,78.59,79.42,49.71,44.41,0.274,63.52,C
tomato,64.81,81.65,54.05,46.55,0.37,69.45,C
orange,64.45,77.9,84.6,14.14,0.341,90.76,C
carrot,94.21,68.14,86.48,17.77,0.032,71.22,C
carrot,48.44,74.62,84.42,9.11,0.52,72.14,C
apple,60.79,81.06,67.98,24.88,0.359,69.85,C
tomato,58.29,94.99,70.24,16.55,0.386,87.19,C
cucumber,100.0,71.72,84.05,22.17,0.023,71.01,B
tomato,63.86,96.04,63.13,42.73,0.34,80.29,C
orange,68.88,71.5,79.61,20.95,0.334,73.1,B
tomato,64.05,84.19,59.53,46.94,0.354,70.23,C
carrot,76.85,62.1,59.02,47.33,0.236,52.15,C
orange,83.28,75.29,62.01,31.12,0.217,58.82,B
banana,79.8,100.0,84.86,10.06,0.278,85.66,A
banana,81.98,87.85,61.9,42.28,0.155,78.35,B
carrot,83.02,77.05,94.4,5.34,0.232,88.26,B
orange,76.09,91.45,88.7,14.13,0.125,85.17,A
apple,59.16,92.59,87.3,8.34,0.309,87.1,C
carrot,100.0,71.64,63.29,30.72,0.061,66.25,B
apple,99.2,88.95,61.29,31.37,0.066,75.21,B
apple,54.76,60.6,58.14,34.42,0.35,53.88,C
cucumber,71.06,100.0,71.73,27.26,0.315,84.68,B
orange,84.0,85.37,77.96,38.64,0.206,76.26,A
cucumber,66.12,87.36,54.0,39.36,0.356,75.66,C
tomato,85.54,92.25,81.98,19.05,0.119,91.18,A
cucumber,77.05,80.6,100.0,0.0,0.233,92.72,A
apple,76.53,72.16,82.05,17.72,0.327,81.04,B
orange,88.94,85.69,96.95,0.0,0.12,90.83,A
orange,78.88,71.38,85.21,17.29,0.275,78.25,B
cucumber,89.84,72.47,93.36,13.14,0.164,84.8,B
banana,70.7,83.31,82.08,14.56,0.36,85.6,B
carrot,100.0,83.17,58.49,36.52,0.074,79.96,C
orange,93.14,97.83,95.47,7.88,0.085,99.35,A
apple,66.88,90.78,99.34,0.0,0.316,97.44,B
orange,68.26,66.2,94.36,2.93,0.318,77.23,C
cucumber,90.8,79.11,57.12,40.8,0.121,69.06,C
cucumber,79.64,84.54,88.14,11.61,0.226,81.41,A
tomato,73.74,84.44,85.06,12.47,0.263,84.73,B
tomato,64.29,87.26,49.61,60.9,0.397,71.63,C
cucumber,66.11,98.67,100.0,7.17,0.391,100.0,B
tomato,65.29,93.94,58.38,34.36,0.283,81.04,C
apple,79.51,81.82,57.99,37.99,0.174,62.88,C
carrot,70.44,69.02,85.24,18.72,0.231,75.65,C
orange,63.29,87.12,77.69,28.87,0.382,80.25,C
tomato,79.0,82.98,74.53,17.55,0.272,84.09,A
tomato,73.49,79.3,57.5,31.3,0.232,66.62,C
carrot,56.38,84.12,94.61,10.45,0.43,80.16,C
carrot,80.2,87.09,100.0,0.0,0.054,88.28,A
cucumber,85.29,82.32,56.55,34.93,0.129,63.21,C
carrot,71.83,74.47,63.87,37.71,0.284,70.18,B
tomato,80.7,81.13,59.47,36.15,0.173,80.63,C
banana,71.72,83.18,71.15,35.3,0.267,75.99,B
banana,90.22,100.0,98.52,0.66,0.095,99.49,A
carrot,65.29,93.24,79.31,20.43,0.284,86.58,B
carrot,49.6,75.02,66.99,34.73,0.598,73.86,C
banana,87.68,95.5,100.0,0.0,0.083,100.0,A
tomato,77.94,84.64,72.02,24.4,0.302,72.83,A
banana,85.86,63.05,62.71,33.32,0.17,61.04,C
orange,76.72,64.51,100.0,0.43,0.258,79.55,C
tomato,100.0,59.0,80.46,12.27,0.0,66.54,C
carrot,63.21,82.43,34.91,63.2,0.363,51.87,C
orange,69.08,79.15,66.52,32.99,0.375,85.2,B
carrot,89.18,95.06,100.0,1.49,0.187,100.0,A
apple,83.26,60.14,80.67,10.06,0.086,71.37,C
tomato,61.29,81.91,78.21,22.88,0.342,84.56,C
cucumber,84.62,67.64,73.15,33.44,0.202,66.41,C
cucumber,69.82,70.14,65.5,26.11,0.295,70.98,B
carrot,76.64,79.35,92.88,3.45,0.205,81.89,B
banana,60.94,88.35,73.84,26.49,0.454,87.75,C
carrot,87.72,84.71,68.61,33.35,0.037,83.97,B
orange,85.72,71.62,66.63,23.15,0.127,66.71,B
orange,89.65,97.32,75.56,22.6,0.125,86.34,A
apple,61.77,74.17,71.26,30.23,0.383,73.76,C
apple,87.98,82.04,100.0,0.0,0.136,100.0,A
orange,80.91,81.19,60.21,48.96,0.133,72.83,B
tomato,75.16,64.91,97.49,0.84,0.188,87.46,C
orange,70.44,86.02,89.46,13.38,0.186,91.22,B
cucumber,73.06,80.69,50.24,50.91,0.201,64.04,C
orange,80.34,94.89,62.89,45.82,0.244,76.74,B
apple,56.34,85.26,64.2,42.99,0.403,70.23,C
cucumber,81.5,73.77,76.14,29.78,0.191,75.56,B
cucumber,52.6,86.7,78.56,26.8,0.504,81.62,C
cucumber,93.49,78.49,79.95,18.18,0.088,77.34,B
carrot,100.0,92.49,100.0,0.0,0.0,94.64,A
carrot,78.62,79.62,49.73,57.18,0.322,71.08,C
orange,81.39,71.88,77.16,35.47,0.168,72.25,B
banana,94.61,96.08,62.43,36.0,0.029,79.61,B
banana,65.94,95.08,77.63,36.33,0.357,85.87,B
carrot,86.62,77.95,47.28,51.28,0.121,54.65,C
tomato,46.99,77.83,79.9,20.68,0.51,78.43,C
apple,66.24,82.13,76.93,17.67,0.351,80.84,B
tomato,100.0,80.31,71.53,25.93,0.0,79.35,A
tomato,67.71,75.18,67.39,26.7,0.235,68.97,B
carrot,80.95,100.0,88.02,15.13,0.285,93.52,A
carrot,78.95,81.86,100.0,0.02,0.178,93.87,A
apple,86.0,86.97,72.97,30.43,0.066,80.78,A
banana,71.06,100.0,78.49,17.93,0.22,95.77,B
cucumber,66.13,86.04,86.4,17.41,0.34,87.01,B
carrot,81.48,86.04,82.8,23.77,0.188,80.33,A
carrot,89.31,60.56,47.51,58.0,0.183,47.71,C
orange,79.51,77.21,71.83,30.01,0.14,68.98,B
banana,75.82,68.49,88.63,8.86,0.221,79.97,C
apple,76.07,92.05,61.07,30.55,0.224,76.86,B
banana,57.18,84.19,63.88,27.41,0.476,70.87,C
tomato,95.25,82.34,80.72,18.01,0.0,75.84,A
apple,83.47,60.52,75.14,18.12,0.177,67.74,C
apple,89.15,94.8,83.34,21.82,0.091,100.0,A
tomato,70.08,92.82,88.04,14.88,0.333,80.01,B
banana,100.0,79.55,95.93,0.0,0.013,84.93,B
cucumber,82.76,86.39,59.06,40.6,0.163,75.2,C
orange,92.84,83.81,55.58,45.06,0.202,77.92,C
tomato,82.14,46.31,77.01,28.58,0.169,59.36,C
carrot,74.0,88.63,57.62,49.51,0.257,68.45,C
cucumber,54.82,75.34,66.85,46.01,0.418,60.32,C
tomato,69.27,87.47,88.55,25.11,0.378,88.95,B
orange,100.0,77.58,65.47,32.03,0.0,69.2,B
cucumber,74.5,90.77,69.79,22.6,0.175,81.33,B
banana,69.69,76.39,82.22,26.13,0.264,79.75,B
banana,92.37,72.69,75.75,24.02,0.011,75.06,B
carrot,86.33,67.76,76.16,32.13,0.241,78.36,C
cucumber,60.34,87.41,68.27,33.43,0.358,69.27,C
cucumber,88.84,85.46,82.45,18.85,0.132,86.6,A
cucumber,73.88,82.99,100.0,0.85,0.263,92.01,B
banana,71.47,84.5,67.91,31.22,0.246,76.75,B
apple,86.76,79.46,43.87,59.68,0.138,56.7,C
apple,57.02,94.54,75.08,11.3,0.439,82.78,C
carrot,69.65,73.15,73.96,23.12,0.211,79.92,B
apple,67.02,68.46,88.33,3.88,0.336,75.48,C
cucumber,70.12,68.76,66.07,33.98,0.311,63.49,C
apple,91.33,62.05,75.9,18.4,0.034,70.28,C
carrot,69.82,67.4,97.19,8.33,0.205,74.92,C
banana,73.73,100.0,85.86,15.94,0.212,95.39,B
orange,58.86,97.66,82.75,12.3,0.452,100.0,C
cucumber,86.26,76.82,77.37,13.59,0.137,77.31,B
orange,100.0,60.46,71.51,36.22,0.0,65.13,C
